US.AR.119,Pulaski County,Pulaski County,4127619,-92.3118,34.76993
US.AR.121,Randolph County,Randolph County,4127846,-91.02772,36.34148
US.AR.123,Saint Francis County,Saint Francis County,4129533,-90.74778,35.022
US.AR.125,Saline County,Saline County,4130035,-92.67657,34.64662
US.AR.127,Scott County,Scott County,4130373,-94.06325,34.86077
US.AR.129,Searcy County,Searcy County,4130432,-92.69949,35.9109
US.AR.131,Sebastian County,Sebastian County,4130449,-94.27391,35.19926
US.AR.133,Sevier County,Sevier County,4130562,-94.24122,33.9972
US.AR.135,Sharp County,Sharp County,4130730,-91.47986,36.16116
US.AR.137,Stone County,Stone County,4132456,-92.15668,35.85987
US.AR.139,Union County,Union County,4134330,-92.59729,33.17136
US.AR.141,Van Buren County,Van Buren County,4134690,-92.5157,35.58065
US.AR.143,Washington County,Washington County,4135394,-94.21558,35.97907
US.AR.145,White County,White County,4136143,-91.74555,35.25627
US.AR.147,Woodruff County,Woodruff County,4137047,-91.24307,35.18633
US.AR.149,Yell County,Yell County,4137268,-93.41125,35.0026
US.DE.001,Kent County,Kent County,4143221,-75.50461,39.09595
US.DE.003,New Castle County,New Castle County,4143835,-75.63898,39.57833
US.DE.005,Sussex County,Sussex County,4144895,-75.33954,38.6833
US.FL.001,Alachua County,Alachua County,4145709,-82.3577,29.67476
US.FL.003,Baker County,Baker County,4146548,-82.28459,30.33107
US.FL.005,Bay County,Bay County,4146810,-85.63262,30.23765
US.FL.007,Bradford County,Bradford County,4148735,-82.16878,29.94996
US.FL.009,Brevard County,Brevard County,4148826,-80.70121,28.30031
US.FL.011,Broward County,Broward County,4149007,-80.45589,26.15186
US.FL.013,Calhoun County,Calhoun County,4149608,-85.19721,30.40603
US.FL.015,Charlotte County,Charlotte County,4150627,-81.95031,26.89985
US.FL.017,Citrus County,Citrus County,4151140,-82.52011,28.84757
US.FL.019,Clay County,Clay County,4151245,-81.85789,29.98307
US.FL.021,Collier County,Collier County,4151550,-81.38097,26.09924
US.FL.023,Columbia County,Columbia County,4151595,-82.62154,30.22424
US.FL.027,DeSoto County,DeSoto County,4152927,-81.8093,27.18632
US.FL.029,Dixie County,Dixie County,4153352,-83.18703,29.58124
US.FL.031,Duval County,Duval County,4153840,-81.64801,30.33544
US.FL.033,Escambia County,Escambia County,4154550,-87.34136,30.6144
US.FL.035,Flagler County,Flagler County,4155535,-81.29299,29.47115
US.FL.037,Franklin County,Franklin County,4156210,-84.80046,29.81168
US.FL.039,Gadsden County,Gadsden County,4156394,-84.6136,30.57947
US.FL.041,Gilchrist County,Gilchrist County,4156770,-82.80037,29.72582
US.FL.043,Glades County,Glades County,4156815,-81.18898,26.95648
US.FL.045,Gulf County,Gulf County,4157652,-85.26101,29.90862
US.FL.047,Hamilton County,Hamilton County,4157924,-82.94796,30.49643
US.FL.049,Hardee County,Hardee County,4158068,-81.80993,27.4927
US.FL.051,Hendry County,Hendry County,4158392,-81.1659,26.55349
US.FL.053,Hernando County,Hernando County,4158449,-82.46849,28.55617
US.FL.055,Highlands County,Highlands County,4158643,-81.34097,27.3434
US.FL.057,Hillsborough County,Hillsborough County,4158712,-82.34692,27.90623
US.FL.059,Holmes County,Holmes County,4158961,-85.8141,30.86789
US.FL.061,Indian River County,Indian River County,4159657,-80.57409,27.69639
US.FL.063,Jackson County,Jackson County,4159990,-85.21546,30.79539
US.FL.065,Jefferson County,Jefferson County,4160118,-83.90047,30.42346
US.FL.067,Lafayette County,Lafayette County,4161127,-83.18107,29.98552
US.FL.069,Lake County,Lake County,4161204,-81.7113,28.76147
US.FL.071,Lee County,Lee County,4161743,-81.84952,26.62536
US.FL.073,Leon County,Leon County,4161831,-84.27788,30.45804
US.FL.075,Levy County,Levy County,4161891,-82.78861,29.28221
US.FL.077,Liberty County,Liberty County,4161925,-84.88291,30.24136
US.FL.079,Madison County,Madison County,4163142,-83.47012,30.44414
US.FL.081,Manatee County,Manatee County,4163277,-82.35754,27.47752
US.FL.083,Marion County,Marion County,4163456,-82.05668,29.2102
US.FL.085,Martin County,Martin County,4163566,-80.39851,27.08157
US.FL.086,Miami-Dade County,Miami-Dade County,4164238,-80.49867,25.60897
US.FL.087,Monroe County,Monroe County,4164762,-80.91705,25.55731
US.FL.089,Nassau County,Nassau County,4165603,-81.77142,30.61058
US.FL.091,Okaloosa County,Okaloosa County,4166818,-86.59218,30.66503
US.FL.093,Okeechobee County,Okeechobee County,4166825,-80.88858,27.38629
US.FL.095,Orange County,Orange County,4167060,-81.32348,28.51442
US.FL.097,Osceola County,Osceola County,4167218,-81.14948,28.06266
US.FL.099,Palm Beach County,Palm Beach County,4167510,-80.43651,26.64757
US.FL.101,Pasco County,Pasco County,4167895,-82.43887,28.30674
US.FL.103,Pinellas County,Pinellas County,4168618,-82.73955,27.90268
US.FL.105,Polk County,Polk County,4168988,-81.69767,27.94888
US.FL.107,Putnam County,Putnam County,4169471,-81.7443,29.60863
US.FL.109,Saint Johns County,Saint Johns County,4171153,-81.40989,29.91218
US.FL.111,Saint Lucie County,Saint Lucie County,4171260,-80.44554,27.38081
US.FL.113,Santa Rosa County,Santa Rosa County,4172096,-87.01845,30.6929
US.FL.115,Sarasota County,Sarasota County,4172139,-82.36498,27.18248
US.FL.117,Seminole County,Seminole County,4172445,-81.2363,28.71698
US.FL.119,Sumter County,Sumter County,4174301,-82.081,28.70482
US.FL.121,Suwannee County,Suwannee County,4174543,-82.99149,30.19561
US.FL.123,Taylor County,Taylor County,4174886,-83.61897,30.01957
US.FL.125,Union County,Union County,4176099,-82.37144,30.04384
US.FL.127,Volusia County,Volusia County,4176559,-81.14857,29.06345
US.FL.129,Wakulla County,Wakulla County,4177321,-84.37561,30.14777
US.FL.131,Walton County,Walton County,4177409,-86.17152,30.61847
US.FL.133,Washington County,Washington County,4177485,-85.66533,30.61059
US.GA.001,Appling County,Appling County,4180088,-82.28898,31.74928
US.GA.003,Atkinson County,Atkinson County,4180432,-82.87999,31.29711
US.GA.005,Bacon County,Bacon County,4180711,-82.45269,31.55367
US.GA.007,Baker County,Baker County,4180816,-84.44467,31.32618
US.GA.009,Baldwin County,Baldwin County,4180872,-83.24959,33.06928
US.GA.011,Banks County,Banks County,4180965,-83.49737,34.35413
US.GA.013,Barrow County,Barrow County,4181182,-83.71276,33.9932
US.GA.015,Bartow County,Bartow County,4181218,-84.8405,34.23786
US.GA.017,Ben Hill County,Ben Hill County,4181955,-83.22046,31.75978
US.GA.019,Berrien County,Berrien County,4182126,-83.22962,31.27606
US.GA.021,Bibb County,Bibb County,4182755,-83.69776,32.80659
US.GA.023,Bleckley County,Bleckley County,4183415,-83.32784,32.43444
US.GA.025,Brantley County,Brantley County,4184153,-81.9819,31.19688
US.GA.027,Brooks County,Brooks County,4184557,-83.58021,30.84197
US.GA.029,Bryan County,Bryan County,4184899,-81.44247,32.01322
US.GA.031,Bulloch County,Bulloch County,4185202,-81.74318,32.39681
US.GA.033,Burke County,Burke County,4185265,-82.00078,33.06115
US.GA.035,Butts County,Butts County,4185484,-83.95717,33.28785
US.GA.037,Calhoun County,Calhoun County,4185662,-84.62451,31.5292
US.GA.039,Camden County,Camden County,4185838,-81.63639,30.92249
US.GA.043,Candler County,Candler County,4186104,-82.07367,32.40344
US.GA.045,Carroll County,Carroll County,4186396,-85.07974,33.58282
US.GA.047,Catoosa County,Catoosa County,4186713,-85.13825,34.90366
US.GA.049,Charlton County,Charlton County,4187348,-82.13769,30.78172
US.GA.051,Chatham County,Chatham County,4187390,-81.09243,31.97402
US.GA.053,Chattahoochee County,Chattahoochee County,4187416,-84.78705,32.34697
US.GA.055,Chattooga County,Chattooga County,4187459,-85.34529,34.47502
US.GA.057,Cherokee County,Cherokee County,4187535,-84.4762,34.24393
US.GA.059,Clarke County,Clarke County,4188191,-83.36733,33.95117
US.GA.061,Clay County,Clay County,4188258,-84.9801,31.62628
US.GA.063,Clayton County,Clayton County,4188291,-84.35769,33.54189
US.GA.065,Clinch County,Clinch County,4188433,-82.70624,30.91495
US.GA.067,Cobb County,Cobb County,4188547,-84.57667,33.94147
US.GA.069,Coffee County,Coffee County,4188653,-82.8492,31.54927
US.GA.071,Colquitt County,Colquitt County,4188937,-83.76885,31.18839
US.GA.073,Columbia County,Columbia County,4188957,-82.26406,33.54412
US.GA.075,Cook County,Cook County,4189236,-83.43047,31.15399
US.GA.077,Coweta County,Coweta County,4189828,-84.76337,33.35346
US.GA.079,Crawford County,Crawford County,4189924,-83.98634,32.7145
US.GA.081,Crisp County,Crisp County,4190062,-83.7681,31.92293
US.GA.083,Dade County,Dade County,4190530,-85.50453,34.85452
US.GA.085,Dawson County,Dawson County,4190959,-84.17064,34.4443
US.GA.089,DeKalb County,DeKalb County,4191014,-84.22641,33.77153
US.GA.087,Decatur County,Decatur County,4191127,-84.57907,30.87834
US.GA.091,Dodge County,Dodge County,4191654,-83.1684,32.17218
US.GA.093,Dooly County,Dooly County,4191760,-83.79875,32.15718
US.GA.095,Dougherty County,Dougherty County,4191903,-84.21625,31.53337
US.GA.097,Douglas County,Douglas County,4191928,-84.76793,33.70182
US.GA.099,Early County,Early County,4192532,-84.90364,31.32283
US.GA.101,Echols County,Echols County,4192932,-82.89394,30.71009
US.GA.103,Effingham County,Effingham County,4193042,-81.34134,32.36731
US.GA.105,Elbert County,Elbert County,4193088,-82.8401,34.11679
US.GA.107,Emanuel County,Emanuel County,4193335,-82.30171,32.58976
US.GA.109,Evans County,Evans County,4193705,-81.88688,32.15676
US.GA.111,Fannin County,Fannin County,4194387,-84.31985,34.86411
US.GA.113,Fayette County,Fayette County,4194465,-84.49419,33.41394
US.GA.115,Floyd County,Floyd County,4195536,-85.21428,34.26316
US.GA.117,Forsyth County,Forsyth County,4195777,-84.12502,34.22551
