X,Y,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
-116.655251615660831,39.356297454271676,32,01779793,0400000US32,32,NV,Nevada,00,284332114099.000000000000000,2047841189.000000000000000
-72.726888381413673,41.618725321703117,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026.000000000000000,1814924099.000000000000000
-77.016560672610808,38.904175732047491,11,01702382,0400000US11,11,DC,District of Columbia,00,158364990.000000000000000,18633403.000000000000000
-71.531776513434181,41.662455673820496,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613.000000000000000,1323474145.000000000000000
-86.828385051867855,32.788879936823854,01,01779775,0400000US01,01,AL,Alabama,00,131173369432.000000000000000,4593984687.000000000000000
-66.456779246087777,18.221044645810853,72,01779808,0400000US72,72,PR,Puerto Rico,00,8867867645.000000000000000,4923406204.000000000000000
-80.895210992808174,33.908176191180928,45,01779799,0400000US45,45,SC,South Carolina,00,77858297564.000000000000000,5074366056.000000000000000
-69.214009925410394,45.34326967587284,23,01779787,0400000US23,23,ME,Maine,00,79885774936.000000000000000,11748561064.000000000000000
-156.357529731045389,20.256448171641487,15,01779782,0400000US15,15,HI,Hawaii,00,16634133472.000000000000000,11777724416.000000000000000
-111.664482789954391,34.292828691567749,04,01779777,0400000US04,04,AZ,Arizona,00,294204474990.000000000000000,1027559124.000000000000000
-106.108361894650159,34.421414835723674,35,00897535,0400000US35,35,NM,New Mexico,00,314161426332.000000000000000,755674004.000000000000000
-76.751039122468697,39.028056457752136,24,01714934,0400000US24,24,MD,Maryland,00,25147417568.000000000000000,6983598596.000000000000000
-75.500947154236059,39.0006277277298,10,01779781,0400000US10,10,DE,Delaware,00,5047105127.000000000000000,1398742998.000000000000000
-77.799543066655559,40.874158660099262,42,01779798,0400000US42,42,PA,Pennsylvania,00,115883499352.000000000000000,3396643587.000000000000000
-98.378906428664806,38.48515225465345,20,00481813,0400000US20,20,KS,Kansas,00,211752682810.000000000000000,1346896791.000000000000000
-72.662212982281844,44.074779126096338,50,01779802,0400000US50,50,VT,Vermont,00,23872224593.000000000000000,1034382802.000000000000000
-74.660842808414031,40.184973456859737,34,01779795,0400000US34,34,NJ,New Jersey,00,19048075783.000000000000000,3543447118.000000000000000
-100.46880610214761,47.446318216167079,38,01779797,0400000US38,38,ND,North Dakota,00,178711991307.000000000000000,4398999691.000000000000000
-71.576699330787704,43.685694432234804,33,01779794,0400000US33,33,NH,New Hampshire,00,23188026108.000000000000000,1026190438.000000000000000
