4053050,4067994:4095415:4829762:4048023:4067927:4082569:4066811:4054852:4075692:4055577:4071488:4051894:4076771:4052964:4056427:4047198:4054566:4069722:4068933:4072842

4053318,4830796:4081644:4829843:4094490:4092853:4058027:4071267:4068506:4060176
4053671,4069659:4098161:4061586:4065830:4065524:4056920:4047827:4059162
4053823,4422442:4438307:4829885:4064664:4085739:4076358
4054073,4219762:4062861:4186955:4085373:4083004:4225122:4067623:4205805:4054555:4056381:4057731:4831176:4186741:4072156:4063613
4054378,4049979:4067994:4095415:4048023:4067927:8605041:4078646:4094212:4066811:4068446:4063765:4082589:4069243:4072130:4076842:4061206:4054852:4062774:4083846:4055650
4054555,4063619:4062861:4069553:4186955:4085336:4091058:4830768:4064310:4085373:4083004:4067623:4097588:4056381:4057731:4054073:4088704:4831176:4186741:4072156:4063613
4054566,4053050:4076771:4051669:4074673:4069722:4093619:4071540:4051971:4056017:4095294:4098518:4096956:4080395
4054593,4049979:4067994:4095415:4048023:4067927:8605041:4078646:4094212:4054378:4068446:4063765:4082589:4069243:4072130:4076842:4061206:4054852:4062774:4083846:4055650
4054818,4069458:4055535:4417642
4054852,4049979:4067994:4095415:4829762:4048023:4067927:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4092671:4069243:4072130:4076842:4053050:4061206:4062774
4054866,4062577:4059870:4078964:4087313:4089536:4094484:7260216:4085521:4431283:4417666:4073357
4054996,4076598:4084888:4058219:4093753:4061234:4088628:4046255:4091136:4088737:4093399:4086363:4055535:4064840:4084324:4057531:4073897:4078348:4430749
4055045,4092788:4092671:4082589:4072130:4076842:4054852:4075692:4071488:4051894:4052964:4056427:4068933:4086224:4095522:4098110:4091923:4066335:4064598:8605042:4076066
4055139,4830198:4081914:4069553:4088146:4072767:4064310:4083004:4067623:4829861:4066793:7260270:4225658:4096645:4072814:4052824:4078898:4081197
4055535,4084888:4088628:4088737:4054996:4434388:4057531:4078348:4054818:4433116
4055577,4053050:4076771:4056427:4083414:4067862:4069722:4093619:4074568:4061602:4058543:4089549:4086637
4055650,4049979:4067994:4095415:4067927:8605041:4078646:4094212:4054378:4063765:4082589:4069243:4072130:4076842:4061206:4054852:4062774:4075692:4063570:4071488:4083697
4055696,4060954:4094975:4829449:4052177:4069210:4055879:4196919
4055815,8605041:4094212:4054378:4057835:4055650:4830455:4083697:4081671:4065029:4074599:4091542:4830478:4054593:4081166:4096404:4066065:4070806:4064548:4830707:4077143
4055879,4094163:4081936:7259777:4055696:4829449:4052177:4069210:4080193
4056017,4094455:4080555:4051669:4067840:4054566:4077349:4071540:4051971:4095294:4098518:4096956:4080395
4056381,4063619:4829791:4062861:4085336:4051059:4091058:4065649:4830768:4064310:4085373:4067623:4054555:4097588:4057731:4092692:4054073:4088704:4831176:4072156:4063613
4056427,4067994:4095415:4829762:4048023:4067927:4082569:4078646:4066811:4092671:4069243:4072130:4053050:4054852:4075692:4055577:4071488:4051894:4076771:4052964:4055045
4056515,4049979:4067994:4095415:4829762:4048023:4067927:4082569:4078646:4054378:4066811:4068446:4063765:4069243:4061206:4054852:4062774:4083846:4075692:4063570:4071488
4056837,4076784:4084796:4076239:4097257:4083073:4092853:4083414:4067862:4074568:4050879:4828090:4058543:4060176:4066661
4056920,4068446:4069659:4063765:4061206:4062774:4083846:4063570:4829588:4077867:4096404:4070806:4092333:4065034:4059070:4053671:4077143:4056515:4090700:4092689:4086500
4057139,4059102:4163428:4066716:4150769:4191735:4066437:4093048:4075984:4157193:4070997:4830684:4163248:4090470:4057320:4074452:4096678:4085771
4057320,4059102:4058061:4183363:7259777:4066716:4829449:4066437:4093048:4075984:4157193:4070997:4830684:4163248:4090470:4080193:4074452:4096678:4085771:4057139
4057531,4076598:4084888:4058219:4093753:4088628:4046255:4091136:4088737:4093399:4054996:4055535:4073897:4078348
4057731,4063619:4829791:4062861:4085336:4051059:4091058:4065649:4830768:4064310:4085373:4067623:4054555:4097588:4056381:4092692:4054073:4088704:4831176:4072156:4063613
4057835,4066449:4830455:4058198:4096404:4066065:4084883:4064548:4090700:4050655:4055815:4061466:4073504:4062523
4058027,4830796:4081644:4829843:4092853:4071267:4064598:4053318:4060176
4058061,4059102:4060791:4081936:7259777:4066716:4063926:4828081:4066437:4093048:4075984:4070997:4072271:4090470:4088360:4057320:4080193:4074452:4096678:4085771:4079423
4058198,4058553:4057835:4066449:4077329:4084883:4064548:4094048:4061466:4062523
4058219,4076598:4084888:4093753:4061234:4062644:4088628:4046255:4091136:4088737:4093399:4054996:4086363:4046319:4084324:4057531:4073897:4060381
4058262,4093753:4061234:4065552:4093399:4064840:4046319:4084324
4058543,4076784:4084796:4076239:4055577:4097257:4083414:4067862:4074568:4050879:4828090:4056837:4060176:4086637
4058553,4068590:4074267:4830668:4066449:4058198:4066463:4077329:4084883:4094048:7260623:4061466:4086921:4093897:4062523
4058662,4073383:4060991:4065282:4072752:4094997
4059070,4049979:4048023:4067927:8605041:4078646:4054378:4068446:4069659:4063765:4069243:4061206:4062774:4083846:4063570:4083697:4092970:4075977:4829588:4077867:4096404
4059102,4081936:4058061:7259777:4066716:4829449:4066437:4093048:4075984:4157193:4070997:4830684:4163248:4072271:4090470:4057320:4080193:4074452:4096678:4085771:4057139
4059162,4069659:4065830:4077329:4053671:4082869:4046499
4059831,4830759:4051714:4061064:4150517:4062595
4059870,4062577:4078964:4087313:4089536:4094484:7260216:4638201:4086921:4070786:4093897:4054866:4073357
4060176,4076784:4829843:4076239:4094490:4097257:4083073:4092853:4083414:4067862:4058027:4074568:4050879:4828090:4056837:4058543:4053318:4086637
4060381,4154047:4168228:4155017:4149956:4147290:4148803:4058219:4177908:4154489:4165519:4061234:4062644:4177465:4156975:4065552:4091136:4157634:4081696:4086363:4157095
4060791,4081936:4081683:4058061:7259777:4063926:4828081:4066437:4093048:4075984:4072271:4090470:4088360:4080193:4074452:4079423
4060954,4190451:4055696:4207128:4829449:4195809:4196919
4060991,4058662:4073383:4065282:4829885:4077349
4061064,4076725:4051714:4059831:4064006:4063475
4061206,4049979:4067994:4095415:4829762:4048023:4067927:8605041:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4069243:4072130:4076842:4054852:4062774:4083846
4061234,4076598:4084888:4058219:4093753:4062644:4088628:4065552:4046255:4091136:4088737:4093399:4054996:4081696:4086363:4064840:4046319:4084324:4073897:4060381:4058262
4061466,4058553:4074267:4057835:4066449:4830455:4058198:4077329:4066065:4084883:4064548:4094048:4062523
4061586,4098161:4065524:4053671:4095392:4092267:4064664:4085739:4047827:4076358
4061602,4829762:4082569:4092671:4053050:4054852:4075692:4055577:4071488:4051894:4055045:4056427:4069722:4068933:4095522:4093619:4098110:4091923:4066335:4064598:8605042
4062523,4058553:4074267:4830668:4057835:4066449:4058198:4077329:4084883:4094048:7260623:4061466
4062568,4152311:4830099:4081683:4152888:4088360
4062577,4059870:4078964:4087313:4089536:4094484:7260216:4638201:4086921:4070786:4093897:4054866:4073357
4062595,4830759:4051714:4168947:4059831:4177380:4150517:4164728
4062644,4149956:4147290:4058219:4177908:4154489:4165519:4061234:4177465:4156975:4065552:4091136:4081696:4086363:4084324:4073897:4060381
4062774,4049979:4067994:4095415:4829762:4048023:4067927:8605041:4082569:4078646:4094212:4054378:4066811:4068446:4063765:4069243:4072130:4076842:4061206:4054852:4083846
4062824,4065302:4073985:4093050:4064006:4077283:4066661
